km;altitude_m;dplus_cumul_m;dmoins_cumul_m;lat;lon
27.1;1656;1953;1646;46.34403;6.81225
27.2;1670;1967;1646;46.34447;6.81114
27.3;1682;1978;1646;46.34455;6.80983
27.4;1696;1993;1646;46.34511;6.80887
27.5;1718;2014;1646;46.34540;6.80771
27.6;1739;2035;1646;46.34569;6.80658
27.7;1752;2049;1646;46.34587;6.80537
27.8;1763;2059;1646;46.34609;6.80414
27.9;1776;2073;1646;46.34588;6.80312
28.0;1790;2087;1646;46.34557;6.80192
28.1;1802;2099;1646;46.34488;6.80111
28.2;1806;2103;1646;46.34446;6.80020
28.3;1811;2107;1646;46.34406;6.79907
28.4;1816;2113;1646;46.34360;6.79800
28.5;1823;2119;1646;46.34309;6.79695
28.6;1832;2128;1646;46.34336;6.79586
28.7;1836;2133;1646;46.34370;6.79467
28.8;1844;2140;1646;46.34394;6.79348
28.9;1845;2143;1647;46.34443;6.79291
29.0;1849;2147;1647;46.34525;6.79259
29.1;1851;2151;1649;46.34577;6.79174
29.2;1851;2153;1651;46.34607;6.79073
29.3;1840;2153;1662;46.34680;6.78993
29.4;1847;2160;1662;46.34743;6.78932
29.5;1850;2164;1663;46.34812;6.78868
29.6;1841;2170;1677;46.34874;6.78807
29.7;1812;2170;1707;46.34909;6.78734
29.8;1785;2170;1734;46.34958;6.78711
29.9;1767;2170;1752;46.34979;6.78603
30.0;1745;2170;1774;46.35009;6.78645
30.1;1716;2170;1803;46.35045;6.78687
30.2;1691;2170;1828;46.35114;6.78707
30.3;1672;2170;1847;46.35195;6.78698
30.4;1658;2170;1861;46.35271;6.78640
30.5;1668;2181;1863;46.35351;6.78592
30.6;1690;2203;1863;46.35432;6.78553
30.7;1713;2227;1863;46.35454;6.78494
30.8;1741;2254;1863;46.35416;6.78383
30.9;1740;2266;1875;46.35431;6.78297
31.0;1714;2266;1902;46.35394;6.78228
31.1;1689;2266;1926;46.35387;6.78127
31.2;1667;2266;1949;46.35337;6.78026
31.3;1637;2266;1979;46.35312;6.77912
31.4;1610;2266;2006;46.35351;6.77860
31.5;1582;2266;2034;46.35361;6.77758
31.6;1558;2266;2058;46.35343;6.77704
31.7;1525;2266;2091;46.35352;6.77601
31.8;1497;2266;2119;46.35367;6.77502
31.9;1478;2266;2137;46.35392;6.77391
32.0;1447;2266;2168;46.35432;6.77283
32.1;1417;2266;2199;46.35455;6.77208
32.2;1387;2266;2229;46.35506;6.77161
32.3;1356;2266;2260;46.35565;6.77248
32.4;1325;2266;2290;46.35643;6.77257
32.5;1299;2266;2317;46.35725;6.77238
32.6;1285;2266;2330;46.35769;6.77338
32.7;1273;2266;2343;46.35834;6.77412
32.8;1254;2266;2362;46.35878;6.77314
32.9;1237;2266;2379;46.35940;6.77209
33.0;1223;2266;2392;46.36005;6.77151
33.1;1208;2266;2408;46.36072;6.77197
33.2;1203;2266;2413;46.36082;6.77330
33.3;1190;2266;2425;46.36122;6.77427
33.4;1172;2266;2443;46.36202;6.77408
33.5;1153;2266;2462;46.36274;6.77474
33.6;1135;2266;2480;46.36329;6.77572
33.7;1119;2266;2497;46.36368;6.77689
33.8;1101;2266;2515;46.36436;6.77776
33.9;1087;2266;2528;46.36491;6.77875
34.0;1076;2266;2540;46.36562;6.77962
34.1;1063;2266;2552;46.36614;6.78033
34.2;1049;2266;2567;46.36645;6.78119
34.3;1041;2268;2577;46.36651;6.78239
34.4;1029;2268;2588;46.36660;6.78341
34.5;1016;2268;2601;46.36622;6.78445
34.6;998;2268;2619;46.36613;6.78557
34.7;977;2268;2640;46.36606;6.78685
34.8;951;2268;2666;46.36635;6.78735
34.9;937;2268;2680;46.36669;6.78826
35.0;924;2268;2694;46.36641;6.78951
35.1;914;2268;2703;46.36619;6.79054
35.2;911;2268;2706;46.36649;6.79043
35.3;911;2268;2707;46.36622;6.79069
35.4;910;2268;2708;46.36647;6.79052
35.5;907;2269;2711;46.36624;6.79147
35.6;904;2270;2714;46.36669;6.79258
35.7;910;2275;2714;46.36695;6.79376
35.8;916;2281;2714;46.36697;6.79504
35.9;922;2287;2714;46.36697;6.79622
36.0;929;2294;2714;46.36751;6.79713
36.1;935;2300;2714;46.36825;6.79793
36.2;943;2309;2714;46.36894;6.79871
36.3;950;2315;2714;46.36955;6.79940
36.4;956;2321;2714;46.37014;6.80043
36.5;962;2327;2714;46.37039;6.80153
36.6;968;2333;2714;46.37078;6.80273
36.7;974;2340;2714;46.37146;6.80364
36.8;980;2345;2714;46.37168;6.80472
36.9;986;2351;2714;46.37240;6.80539
37.0;993;2358;2714;46.37269;6.80645
37.1;999;2364;2714;46.37276;6.80773
37.2;1004;2369;2714;46.37282;6.80889
37.3;1007;2372;2714;46.37280;6.81020
37.4;1010;2375;2714;46.37276;6.81130
37.5;1014;2379;2714;46.37356;6.81148
37.6;1018;2384;2714;46.37436;6.81165
37.7;1031;2396;2714;46.37465;6.81224
37.8;1051;2416;2714;46.37467;6.81280
37.9;1067;2432;2714;46.37413;6.81267
38.0;1081;2446;2714;46.37465;6.81333
38.1;1086;2452;2715;46.37543;6.81359
38.2;1063;2452;2738;46.37546;6.81417
38.3;1036;2452;2765;46.37523;6.81490
38.4;1015;2452;2786;46.37586;6.81510
38.5;988;2452;2813;46.37575;6.81590
38.6;971;2452;2830;46.37531;6.81675
38.7;973;2456;2832;46.37514;6.81783
38.8;966;2457;2840;46.37477;6.81901
38.9;973;2465;2841;46.37453;6.82005
39.0;966;2466;2849;46.37456;6.82135
39.1;957;2466;2858;46.37440;6.82221
39.2;948;2466;2867;46.37455;6.82348
39.3;939;2466;2877;46.37468;6.82467
39.4;929;2466;2886;46.37467;6.82596
39.5;922;2466;2894;46.37527;6.82648
39.6;914;2466;2902;46.37536;6.82776
39.7;904;2466;2911;46.37559;6.82910
39.8;895;2466;2920;46.37555;6.83037
39.9;887;2466;2928;46.37558;6.83151
40.0;879;2466;2937;46.37548;6.83277
40.1;870;2466;2945;46.37528;6.83402
40.2;860;2466;2955;46.37498;6.83519
40.3;856;2467;2961;46.37485;6.83614
40.4;847;2467;2970;46.37531;6.83717
40.5;838;2467;2979;46.37527;6.83836
40.6;829;2467;2987;46.37493;6.83967
40.7;822;2467;2995;46.37450;6.84063
40.8;815;2467;3001;46.37386;6.84129
40.9;807;2467;3009;46.37420;6.84244
41.0;800;2467;3017;46.37392;6.84351
41.1;791;2467;3026;46.37385;6.84475
41.2;782;2467;3034;46.37372;6.84596
41.3;774;2467;3043;46.37337;6.84722
41.4;765;2467;3052;46.37305;6.84833
41.5;757;2467;3059;46.37295;6.84952
41.6;744;2467;3073;46.37262;6.85071
41.7;728;2467;3089;46.37270;6.85087
41.8;714;2467;3103;46.37337;6.84997
41.9;701;2467;3115;46.37374;6.84997
42.0;687;2467;3129;46.37349;6.85116
42.1;674;2467;3143;46.37342;6.85149
42.2;661;2467;3156;46.37414;6.85075
42.3;645;2467;3171;46.37478;6.84981
42.4;630;2467;3187;46.37522;6.84872
42.5;616;2467;3200;46.37537;6.84752
42.6;605;2467;3212;46.37602;6.84687
42.7;592;2467;3225;46.37698;6.84682
42.8;581;2467;3236;46.37736;6.84692
42.9;573;2467;3243;46.37679;6.84774
43.0;560;2467;3256;46.37690;6.84903
43.1;550;2467;3267;46.37688;6.85032
43.2;542;2467;3275;46.37667;6.85143
43.3;532;2467;3285;46.37636;6.85258
43.4;512;2467;3305;46.37662;6.85306
43.5;492;2467;3324;46.37750;6.85298
43.6;470;2467;3347;46.37837;6.85293
43.7;463;2467;3353;46.37907;6.85230
43.8;452;2467;3365;46.37996;6.85206
43.9;441;2467;3376;46.38089;6.85214
44.0;430;2467;3387;46.38180;6.85236
44.1;423;2467;3394;46.38267;6.85235
44.2;415;2467;3402;46.38320;6.85280
44.3;405;2467;3411;46.38382;6.85355
44.4;400;2467;3417;46.38466;6.85319
44.5;394;2469;3424;46.38530;6.85284
44.6;390;2469;3428;46.38594;6.85201
44.7;390;2470;3429;46.38670;6.85118
44.8;394;2474;3429;46.38701;6.85001
44.9;393;2474;3430;46.38752;6.84890
45.0;392;2474;3431;46.38759;6.84768
45.1;391;2474;3432;46.38756;6.84640
45.2;392;2474;3432;46.38750;6.84493
45.3;387;2474;3436;46.38781;6.84558
45.4;380;2474;3444;46.38806;6.84692
45.5;380;2475;3444;46.38792;6.84823
45.6;379;2475;3445;46.38770;6.84930
45.7;379;2475;3445;46.38728;6.85043
45.8;379;2475;3445;46.38683;6.85184
45.9;379;2475;3445;46.38663;6.85293
46.0;379;2475;3446;46.38618;6.85398
46.1;378;2475;3446;46.38558;6.85506
46.2;378;2475;3447;46.38540;6.85608
46.3;378;2475;3447;46.38574;6.85747
46.4;377;2475;3448;46.38635;6.85733
